Data,Type,Source,English Translation,Category,100%,Annotation
ek ret otte hodok lobe,Comments,Facebook,how much would you charge for one night stand,women/girls,100,Bully
more lole bana suk dimbe,Comments,Facebook,"if you marry me, I'll give you pleasure",women/girls,50,Neutral
ler hei janibede bana,Comments,Facebook,you can only eat samen,men/women,100,Bully
jattore ja dubor magisudi,Comments,Facebook,"you are ruining your community,you motherfucker",women/girls,100,Bully
suor o so bo gom nw more,Comments,Facebook,why the son of a pig doesn't die,men/women,100,Bully
nudi gali janibede bana,Comments,Facebook,you can only showoff,women/girls,50,Neutral
tore pele hem,Comments,Facebook,you will be in great danger if I find you,women/girls,100,Bully
mogodabi ekdin tor bal an poji jebo,Comments,Facebook,you dead women! oneday your vagina will rot,women/ girls,100,Bully
huttorbassa nijore nije he mone garaj,Comments,Facebook,"you son of a bitch, what do you think yourself",men/boys,100,Bully
soddeng goro mu to satdinne hehai te murimmi mui,Comments,Facebook,you bitch I will die after atending your funeral,women/girls,100,Bully
mogodar luccho,Comments,Facebook,you dead pervert,men/ boys,80,Bully
dol uiye sudirbei,Comments,Facebook,good job motherfucker,men/boys,100,Bully
manji dormo gorodon tui bana pap ani gorotte,Comments,Facebook,all of them are doing good deeds and you are doing evil,men/women,50,Neutral
puro bandor o dok gasottun jam dede,Comments,Facebook,you jumped like a monkey from the tree,men/boys,70,Bully
Mogoda mogoni dud degei degei vdo banotte he degebar sor dw nw bujilung hala begun porane makkide radabir,Comments,Facebook,This marma slut is making such disgusting videos showing off her boobs as if wanting to fuck her,women/girls,100,Bully
morloi r jibonot hoda no hobe,Comments,Facebook,Never talk to me,Both,50,Neutral
nek lobar porane magette ai,Comments,Facebook,Desire to get married has arisen,women/ girls,50,Neutral
ma babor sikka no peine sekke gottonde egun,Comments,Facebook,They are doing this because they don't get education from their parents,Both,50,Neutral
Argentina unor han gorom age!!! Tara indi bajileo duj no bajileo duj,Posts,Facebook,The Argentine fans are pissed off right now. I'm in a dilemma right now whether to support them or not,Both,50,Neutral
tara jinibakke hujiye biriyani hei pem hoineo offended odon. Dukkho ena,Posts,Facebook,"I told them to treat me with biriryani if they win, but they are being offended. It's really bad",Both,50,Neutral
Eddur durot jeine chobi upload dileu mwttun patta nwfebe ekka ,Comments,Facebook,You won't get my attention whether to upload pictures going far away,women/girls,50,Neutral
Teh sibe he debeda,Comments,Facebook,what the hell is that(referring to a woman's looks),women/girls,70,Bully
Goaaaaaaaal…....Post delete dibo na Karon hakkon por Toma muani bhitore ball o vore dine goal dibakkoi,Posts,Facebook,Goal.. I will not delete the post because after some time they will send the ball inside your mouths and score again,Both,60,Bully
madarsuttun,Comments,Facebook,You motherfuckers,men/boys,100,Bully
mogod arile id deactivate guri pebede de,Comments,Facebook,"You bitch,you have to deactivate your id after you lose",women/girls,60,Bully
Ghuyodola ,Comments,Facebook,piece of shit,women/girls,70,Bully
Tui dw borwlox didi,Comments,Facebook,you are rich sister,women/girls,50,Neutral
Buddha mojjung. Ebe do Ananta jalil ottun o bech,Comments,Facebook,oh my God. This guy is more than Ananta Jalil,men/boys,70,Bully
Mogodi phone deh,Comments,Facebook,Bitch call me,women/girls,60,Bully
andha dhun film or ayushman khurana sanne lager ebbere,Comments,Facebook,this girl is looking like Ayushman Khuranna in Andha dhun,women/girls,60,Bully
Bah Ado Goda Bollywood Or Heroin o dok lager,Comments,Facebook,wow you look like a bollywood heroin,women/girls,0,Not Bully
halka guri ghinelung tre,Comments,Facebook,I am hating you,women/girls,50,Neutral
mkda lakke olor gori lega sik,Comments,Facebook,quietly study you bitch,women/girls,60,Bully
Buro guri gabur,Comments,Facebook,you want to look like young but you are old,women/girls,60,Bully
Ei sittei dw patta nwpaj,Comments,Facebook,this is why you don't get attention,Both,50,Neutral
tui osot sene jana nwoidi ai,Comments,Facebook,you are bad that is why we don't travel together,men/boys,60,Bully
Luccho happy birthdayyyyy,Posts,Facebook,Happy Birthday you lewd,men/boys,70,Bully
Mili ekka hom sej..alor poth ot aii ,Posts,Facebook,"don't look at girls too much, come in the way of light",men/boys,60,Bully
Ijjot hei dibar thalot thacchi ai oni eju...,Comments,Facebook,you always try to ruin my honor,men/boys,50,Neutral
Asolei hedam ache,Posts,Facebook,truly they have guts,both,50,Neutral
Mo dukkin j nopebe.. green snake muu,Comments,Facebook,"you will not get like me, green snake faced friends",women/girls,60,Bully
Obuk jommede de hela an,Posts,Facebook,this match has become interesting,sports,0,Not Bully
30 mnt e jodi game change no ole mor hugurbo nang an icche hoite neymar,Posts,Facebook,if the match doenn't change in 30 minutes then I will name my dog neymar,sports,50,Neutral
Porane ole hor dhori dhori bodol jhagarai para jhagara...morar olodde un,Posts,Facebook,I feel like shaking these people like shaking bottles..these dead yellow ones,sports,60,Bully
icche Brazil e faltu helette,Comments,Facebook,today Brasil is playing very bad,sports,50,Neutral
na mui heli didunggoi. Uder pagana,Posts,Facebook,I feel like playing the game.. I am getting so mad at them,sports,60,Bully
Moro Tumi ekku,Comments,Facebook,die you guys,women/girls,60,Bully
Juuuu,Comments,Facebook,hello,women/girls,0,Not Bully
Dutto doll age,Comments,Facebook,your breasts are nice,women/girls,80,Bully
Ler ha huttr bas coni ce dam te lea in box,Comments,Facebook,"eat samen you bitch, if you have courage then inbox me",women/girls,100,Bully
Pun punu d dagor pagor ekke,Comments,Facebook,you butt looks big,women/girls,80,Bully
Vai tw valo hanabu homba oye,Comments,Facebook,how big is your vagina,women/girls,100,Bully
Sudanir eju dol degong otte,Comments,Facebook,I am liking you bitch,women/girls,100,Bully
Ekke bore dibar,Comments,Facebook,Feels like having sex,women/girls,100,Bully
Tor balanot ebe bores de,Comments,Facebook,Put this in your vagina,women/girls,100,Bully
Cigon cigon punnoi hitti ejon hobare,Comments,Facebook,why do they come with smaller butts,women/girls,100,Bully
Eju magi mile dokke degng otte di ,Comments,Facebook,you are looking like a call girl sister,women/girls,100,Bully
Bangalle lagiye nahi r o  ,Comments,Facebook,did the bengali guy fucked yu again,women/girls,100,Bully
Fokti ,Comments,Facebook,fat,women/girls,60,Bully
Tore sudode Puri sei Ahmar Awbo bby,Comments,Facebook,It will be so much fun to have sex with you baby,women/girls,100,Bully
mogodar maaaagggggiiii,Comments,Tiktok,you dead bitch,women/girls,100,Bully
Baggallotton soda hade hade sehara dw palteye,Comments,Tiktok,your face has been changes after getting fucked from the bengali guys,women/girls,100,Bully
He mamiya soda hade hade kelanto ole nahe mamia,Comments,Tiktok,what happened Mamiya did you get tired of getting fucked,women/girls,100,Bully
Magisudi gm agj,Comments,Facebook,how are you bitch,women/girls,100,Bully
Kottor bacune,Comments,Tiktok,Bitch ,women/girls,100,Bully
Tmi bw je nw pariba.. Bek mgi dll tmi,Comments,Facebook,"you will never get married, all of you are  call girls",women/girls,100,Bully
mor loi prem ghoribe sona.,Comments,Tiktok,will you date me darling,women/girls,50,Neutral
Tw balan humma age,Comments,Facebook,how big is your vagina,women/girls,100,Bully
Sudo sadi gwribi mwrlo,Comments,Facebook,will you fuck with me,women/girls,100,Bully
Mg i puro..,Comments,Facebook,you are a bitch,women/girls,100,Bully
te suda hiyossi cyani banggal o issa nhe tw issa,Comments,Facebook,you got fucked up by the bengali guy is it your fault or his,women/girls,100,Bully
Plz mamiya poranne ma ranesa pic un dena,Comments,Facebook,please Mamiya darling give me Ranesa's pictures,women/girls,50,Neutral
Ahh poranne mabo mui essung hoi pela,Comments,Facebook,I am here mother of my darling tell me,women/girls,50,Neutral
Ahh poran rag 9udij na,Comments,Facebook,don't get angry my love,women/girls,50,Neutral
Ler ha magisudi tore akka sudi pedung,Comments,Facebook,eat samen you bitch I want to fuck you,women/girls,100,Bully
Akka ballan suji dong poran tre ,Comments,Facebook,let me suck your vagina darling,women/girls,100,Bully
Ahh gorle bujong c poran,Comments,Facebook,I know what you mean when you say ahh,women/girls,70,Bully
Radabi ebara ro suru oe mkta nudi3tang,Comments,Facebook,this bitch again started her drama,women/girls,100,Bully
Banduri ,Comments,Facebook,monkey,women/girls,50,Neutral
Mgda hala bali,Comments,Facebook,you dead person with black samen,women/girls,100,Bully
tw tuttu emba he doll,Comments,Facebook,your lips are very beautiful,women/girls,50,Neutral
Twre sudong sudile il obw,Comments,Facebook,it will be my pleasure to fuck you,women/girls,100,Bully
Abar dw akka pokta ouj o,Comments,Facebook,you have become fat again,women/girls,60,Bully
Bangallo settu hoi bar suji doj,Comments,Facebook,how many times did you suck the bengali guy's penis,women/girls,100,Bully
Hdk borebe i bangalw set,Comments,Facebook,how many times will you insert the bengali guy's penis,women/girls,100,Bully
Chok han ole ja oy,Posts,Facebook,this is what happens when you are blind,Both,50,Neutral
Nuo lajan bgovan he r hobo . ja doge te viral uaon olor guri yei njanon  ,Comments,Tiktok,"My God they don't even feel ashamned, they got viral by their own, cannot stay quiet",women/girls,50,Neutral
edeh nah bili ekka juro guri tang,Comments,Tiktok,that's what I'm saying to stay them quiet,women/girls,50,Neutral
egun honne i jatti mili,Comments,Tiktok,these are called our so called community girls,women/girls,60,Bully
iyee evvee cuteee guri bissiri hodaaa hoi tee,Comments,Facebook,why does this girls talks rudely yet being so cute,woman/girls,60,Bully
"Unni chele 2jone magi tara ,,,gai mamiya he magi deh nahi mamiya virul nwobar ageh teh virul ue",Comments,Facebook,"whereas both of them are bitches,Mamiya is not the only bitch I guess she got viral before Mamiya got viral",woman/girls,80,Bully
Asole tig hda huaoj je ekku gadottun ,Comments,Facebook,You have said the right thing that they are of same categories,women/girls,50,Neutral
ta dukki mui pro magi noi ,Comments,Facebook,I am not a professional call girl like her,woman/girls,80,Bully
magi magi song pujjun de Jemon madhu mita ctg dorat pujji semon te ranggamati dorat pujji ,Comments,Facebook,Both the bitches are same like Madhu Mita got caught with a bengali guy in Chittagong then she got caought in Rangamati,woman/girls,80,Bully
Ah he olw etar,Posts,Facebook,what happened to him,men/boys,50,Neutral
Bal tara live ani helle redot sade sade esse redot ekke sbne dekkng,Comments,Facebook,fuck after watching their lives I dreamed about them,women/girls,60,Bully
mre edot tulij,Comments,Facebook,remind me,women/girls,50,Neutral
Bissiri hoda tara hodani ,Comments,Facebook,they are talking bullshit,women/girls,60,Bully
Retto live sang orte mamiya tahi posa bal,Comments,Facebook,all night long I am watching live on Mamiya Tahi's rotten vagina,woman/girls,100,Bully
Essi teh digilunge hudukku sidoli agn,Comments,Facebook,Today I saw how many bitches ( sidoli ) are there,woman/girls,80,Bully
Biyakkol,Comments,Facebook,stupid,women/girls,50,Neutral
Bangla desho chakma mile gune musulmano sed tun vari gom peyon musulmano soda vari chuk peyon Bangla desho chakma mile gune no lagan,Comments,Facebook,the Bangladeshi chakma women have liked the pnis of the Bangladeshi muslim's they are no even ashamed,woman/girls,80,Bully
Palto chakma mile,Comments,Facebook,worthless chakma women,woman/girls,100,Bully
Tui hon mogoda manuj tui manjo hobor agey bakkani hobor patta loj tey manjo photo dalelij surita di he bangl loyedey nhi ,Comments,Facebook,You are  a dead person who doesn't even know the full details of other people and post it,men/boys,60,Bully
ler hotte sekkani buji da dw bangal nloda goi,Comments,Facebook,"you are eating samen,if you knew you wouldn't have married a bengali guy",woman/girls,80,Bully
Chakma jattu hadon bangala das o milie Gunn paltu milie,Comments,Facebook,The Bangladeshi chakma women are ruining the Chakma community ,woman/girls,80,Bully
Rendi mili dy,Comments,Facebook,these are call girls,woman/girls,100,Bully
Sede ler ha hugur bu,Comments,Facebook,Eat samen you dog,men/boys,100,Bully
Mgda bi re degile mor rokto uduray... ,Comments,Facebook,I feel angry whenever I see this bitch,woman/girls,60,Bully
Tara dijortte bili ney goda deginala mile un bonam padon..,Comments,Facebook,because of these two persons the whole dighinala girls are getting defamation,woman/girls,50,Neutral
"Ball mo, chakma hodaa Puri pellossoi nahi.",Comments,Facebook,Fuck you have you forgotten chakma language,men/boys,70,Bully
mamiya olode 2nd sunny leone,Comments,Facebook,Mamiya is the second sunny leone,woman/girls,80,Bully
Mgda mui hmli mure bi,Comments,Facebook,when will you die you bitch,woman/girls,100,Bully
Meya kolipa dog degotte,Comments,Facebook,you are looking like Mia Khalifa,woman/girls,80,Bully
Banggal lottun suda hade hade jane dw hege da o jioj soi,Comments,Facebook,you have become skinny after getting fucked from the bengali guy,woman/girls,80,Bully
